k
12.0907
18.9286
11.261
12.9368
17.5187
17.066
18.4925
18.3906
18.391
18.813
18.8379
18.5541
18.9686
18.7203
18.8796
18.6804
18.6196
18.7355
18.5608
18.7945
18.6369
18.7511
18.6084
18.6788
18.6454
17.4903
19.3474
18.944
10.1034
17.4548
16.4452
14.677
22.812
24.0037
19.3399
16.6469
24.152
11.2132
19.8621
21.6909
11.9375
21.6728
22.0289
18.7625
21.5453
19.3981
17.6561
21.7654
14.4775
24.9663
17.2334
20.5743
22.6506
11.8728
24.8331
15.584
11.8315
20.3602
19.4983
21.7374
21.434
7.79765
20.6599
21.5049
19.9421
13.8451
11.5553
24.6803
13.4069
27.9122
27.0557
11.6172
25.633
22.24
19.2152
16.6166
20.2968
24.6792
22.2397
21.0703
11.9631
9.19987
18.2064
20.8435
22.3053
20.1477
27.3694
21.2341
22.3031
22.6693
20.9539
19.0911
13.3095
16.5501
7.26323
21.112
24.4284
25.0228
17.3594
22.3421
16.9951
14.9922
22.8513
22.4656
25.6758
28.6349
18.3112
25.435
21.2108
25.0805
21.2678
24.1012
30.4546
6.71313
25.2401
25.7905
25.2541
19.387
23.9179
20.2551
14.214
17.4612
25.1144
20.3204
16.5123
17.4438
21.556
20.4991
12.0527
23.187
22.5403
17.5142
22.6429
37.1538
27.8254
26.2016
20.4068
21.8546
19.987
23.3093
17.4056
15.5265
20.5204
21.2953
37.1984
26.7867
25.1442
23.3011
22.4461
9.46651
5.83454
17.8449
31.8162
26.5463
25.2626
10.8449
22.0346
12.3856
21.8543
24.3192
25.0638
28.5572
15.3121
11.004
31.0338
11.4876
34.2372
20.7618
16.0434
22.3732
10.1992
24.8916
18.323
12.0626
20.8998
19.8233
26.5701
18.8663
23.1766
14.208
18.7931
14.2598
15.7781
18.7194
24.0897
14.1325
19.6614
21.5397
9.22837
19.412
18.9539
24.3908
10.9883
32.5353
18.5342
20.5293
27.9246
25.0106
27.3037
13.9384
18.5852
15.0758
14.982
19.9821
26.4983
10.2149
7.25397
23.8534
14.9998
24.4125
20.82
11.6164
17.8831
22.5972
25.4419
20.6636
19.1268
27.3953
28.0349
27.9771
27.4615
24.1898
25.3679
22.044
12.0807
22.5005
13.8667
12.8933
25.443
21.7894
26.6147
25.4988
23.8707
21.62
7.89988
20.7331
8.74745
31.088
26.0489
21.8377
22.4697
15.8924
16.3543
20.6386
28.0815
27.0391
21.0583
20.0796
25.7897
20.149
38.7051
21.883
18.7643
32.891
10.8753
23.6339
12.2491
24.0689
38.2299
22.4298
17.778
16.1661
28.2345
21.2174
22.3036
18.2616
6.19443
18.6429
13.4159
23.7863
26.4483
18.6722
22.5108
40.4286
40.4319
24.0803
25.1627
24.0614
25.6657
19.9853
20.0397
13.6521
18.6904
22.8082
18.3203
25.0445
20.6467
31.7097
19.7422
26.5114
13.5264
24.7445
20.7475
29.894
20.6281
