"Cp","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","RegionId","U:0","U:1","U:2","k","p","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
-1.8024,0.10771,-0.15941,0.98132,-1.2069,0.3,0.099047,0,0,0,0,89.368,-8227.8,-2756.7,-2.8307e+05,-46145,-27.815,-0.55824,5.1857,87.243
-1.7859,0.10911,-0.15917,0.9812,-1.2054,0.3,0.098883,0,0,0,0,87.041,-8152.2,-3161.6,-2.8194e+05,-46325,-27.656,-0.45073,4.7635,86.91
-1.7893,0.10911,-0.15917,0.9812,-1.2039,0.3,0.098718,0,0,0,0,85.55,-8168,-5299.9,-2.8446e+05,-47030,-28.118,-0.1903,4.4947,87.575
-1.8033,0.1091,-0.15917,0.9812,-1.2024,0.3,0.098554,0,0,0,0,85.26,-8231.7,-9365.9,-2.918e+05,-47652,-29.412,0.27276,4.3079,89.495
-1.8373,0.078731,-0.14692,0.98597,-1.2009,0.3,0.098389,0,0,0,0,85.651,-8387,-13188,-2.9854e+05,-44731,-30.586,0.74708,4.2457,91.21
-1.8433,0.054708,-0.13582,0.98921,-1.1995,0.3,0.098305,0,0,0,0,85.565,-8414.5,-11929,-2.9569e+05,-39672,-30.069,0.71143,3.9664,90.342
-1.7995,0.046826,-0.12992,0.99042,-1.198,0.3,0.098236,0,0,0,0,85.214,-8214.4,-8872,-2.8932e+05,-37566,-28.95,0.46247,3.4736,88.562
-1.7858,0.049954,-0.12905,0.99038,-1.1977,0.3,0.09822,0,0,0,0,84.964,-8152.1,-8070.9,-2.8756e+05,-37370,-28.638,0.3911,3.3588,88.083
-1.7295,0.052615,-0.12834,0.99033,-1.1964,0.3,0.098156,0,0,0,0,84.439,-7894.9,-5867.7,-2.8364e+05,-37193,-27.983,0.21919,2.9737,86.992
-1.7123,0.054656,-0.12858,0.99019,-1.1955,0.3,0.098101,0,0,0,0,83.286,-7816.5,-4603.2,-2.8133e+05,-37001,-27.593,0.12099,2.716,86.362
-1.7045,0.05542,-0.12841,0.99017,-1.195,0.3,0.098073,0,0,0,0,83.216,-7780.8,-4411.7,-2.8111e+05,-37071,-27.554,0.10909,2.6406,86.296
-1.7036,0.055425,-0.12841,0.99017,-1.1947,0.3,0.098059,0,0,0,0,82.784,-7776.6,-4027.1,-2.7996e+05,-37034,-27.355,0.072224,2.5788,85.991
-1.6974,0.055423,-0.12841,0.99017,-1.1934,0.3,0.097985,0,0,0,0,82.868,-7748.3,-4811.4,-2.8263e+05,-37427,-27.814,0.16803,2.398,86.693
-1.6952,0.055423,-0.12841,0.99017,-1.1919,0.3,0.097903,0,0,0,0,82.546,-7738.2,-5797.1,-2.8498e+05,-37874,-28.219,0.28713,2.1694,87.324
-1.703,0.053043,-0.12638,0.99056,-1.1904,0.3,0.097818,0,0,0,0,83.321,-7774.2,-8851.9,-2.9145e+05,-38213,-29.334,0.62645,2.0012,89.029
-1.735,0.032974,-0.11806,0.99244,-1.1889,0.3,0.097737,0,0,0,0,84.334,-7920.2,-11733,-2.9704e+05,-35919,-30.295,0.95377,2.0295,90.47
-1.7446,0.0090156,-0.10796,0.9941,-1.1874,0.3,0.09772,0,0,0,0,84.673,-7963.8,-10699,-2.9497e+05,-32100,-29.875,0.87475,1.8709,89.807
-1.6993,0.0036683,-0.10386,0.99459,-1.1859,0.3,0.097715,0,0,0,0,84.179,-7757,-7891.2,-2.8757e+05,-30276,-28.564,0.6212,1.4223,87.768
