"Cp","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","RegionId","U:0","U:1","U:2","k","p","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
-0.082906,0.47189,-0.10346,-0.87556,-0.78509,0.3,0.22245,0,0,0,0,81.753,-378.46,24076,3.2554e+05,-22077,-30.632,1.0626,-17.668,97.64
-0.041383,0.49691,-0.11038,-0.86075,-0.78615,0.3,0.22189,0,0,0,0,80.25,-188.91,24922,3.2455e+05,-25308,-30.441,0.95343,-17.711,97.436
-0.0032002,0.49759,-0.11175,-0.86018,-0.78728,0.3,0.22123,0,0,0,0,78.997,-14.609,22374,3.1844e+05,-28016,-29.353,0.53207,-17.362,95.869
0.01978,0.49764,-0.11176,-0.86015,-0.78912,0.3,0.22017,0,0,0,0,77.805,90.294,20287,3.1426e+05,-29523,-28.544,0.22184,-17.238,94.8
0.036421,0.5008,-0.11482,-0.85792,-0.79015,0.3,0.21957,0,0,0,0,76.466,166.26,19714,3.132e+05,-30550,-28.253,0.079852,-17.364,94.536
0.074407,0.51524,-0.12239,-0.84826,-0.79206,0.3,0.21844,0,0,0,0,74.634,339.66,19174,3.1034e+05,-33325,-27.753,-0.14457,-17.276,93.864
0.12038,0.5269,-0.12663,-0.84044,-0.79297,0.3,0.21787,0,0,0,0,72.919,549.53,17350,3.0579e+05,-36119,-27.034,-0.4754,-16.961,92.743
0.125,0.52986,-0.12854,-0.83829,-0.79323,0.3,0.21771,0,0,0,0,72.744,570.6,16869,3.0498e+05,-36173,-26.897,-0.52301,-16.911,92.531
0.14569,0.52986,-0.12857,-0.83828,-0.7944,0.3,0.21696,0,0,0,0,71.883,665.05,15467,3.0221e+05,-36989,-26.438,-0.69826,-16.721,91.819
0.15051,0.52989,-0.12835,-0.8383,-0.79478,0.3,0.21673,0,0,0,0,71.534,687.06,14891,3.014e+05,-37196,-26.299,-0.76251,-16.672,91.609
0.17315,0.5334,-0.12991,-0.83583,-0.79662,0.3,0.21556,0,0,0,0,69.64,790.42,12580,2.9801e+05,-38549,-25.709,-1.0526,-16.498,90.746
0.21838,0.54051,-0.13242,-0.83085,-0.79752,0.3,0.21498,0,0,0,0,67.842,996.87,10842,2.9498e+05,-40804,-25.266,-1.3266,-16.287,90.016
0.22565,0.55884,-0.13785,-0.81773,-0.79776,0.3,0.21481,0,0,0,0,67.627,1030.1,10071,2.9401e+05,-40611,-25.121,-1.3768,-16.192,89.754
0.26319,0.55405,-0.13541,-0.82139,-0.79893,0.3,0.21402,0,0,0,0,66.473,1201.4,7946.3,2.8966e+05,-41617,-24.526,-1.5885,-15.757,88.638
0.27221,0.55161,-0.13342,-0.82335,-0.79929,0.3,0.21377,0,0,0,0,66.112,1242.6,7060,2.8806e+05,-41450,-24.297,-1.6448,-15.594,88.213
0.30778,0.55083,-0.12194,-0.82566,-0.8011,0.3,0.21256,0,0,0,0,64.392,1405,2364.6,2.8036e+05,-40823,-23.218,-1.9531,-14.792,86.166
0.33479,0.54953,-0.11976,-0.82684,-0.802,0.3,0.21197,0,0,0,0,63.216,1528.3,-429.54,2.7621e+05,-40040,-22.656,-2.1084,-14.331,85.048
0.33971,0.54841,-0.11783,-0.82787,-0.80224,0.3,0.21181,0,0,0,0,63.017,1550.7,-680.71,2.7547e+05,-40286,-22.566,-2.1363,-14.258,84.868
0.36187,0.54841,-0.11783,-0.82787,-0.80343,0.3,0.21102,0,0,0,0,62.219,1651.9,-2139.1,2.7275e+05,-40319,-22.224,-2.2326,-13.957,84.163
0.37058,0.54841,-0.1177,-0.82788,-0.80379,0.3,0.21078,0,0,0,0,61.913,1691.7,-2648.3,2.716e+05,-40544,-22.086,-2.2752,-13.834,83.873
0.40417,0.5484,-0.1178,-0.82788,-0.80561,0.3,0.20958,0,0,0,0,60.483,1845,-5840.7,2.657e+05,-41548,-21.382,-2.5266,-13.195,82.397
0.43111,0.54814,-0.11729,-0.82812,-0.8065,0.3,0.20899,0,0,0,0,59.615,1968,-8934,2.6122e+05,-42116,-20.866,-2.7521,-12.685,81.275
0.43246,0.54523,-0.11629,-0.83017,-0.80674,0.3,0.20882,0,0,0,0,59.52,1974.1,-9360.6,2.6091e+05,-41643,-20.824,-2.7578,-12.64,81.179
0.446,0.53895,-0.11184,-0.83487,-0.80794,0.3,0.20804,0,0,0,0,59.078,2036,-11217,2.5902e+05,-40888,-20.605,-2.8422,-12.393,80.674
0.44927,0.52789,-0.10268,-0.84308,-0.8083,0.3,0.20782,0,0,0,0,58.908,2050.9,-11520,2.587e+05,-40572,-20.571,-2.8456,-12.341,80.585
0.46357,0.5279,-0.10287,-0.84305,-0.81008,0.3,0.2067,0,0,0,0,57.878,2116.1,-13613,2.5657e+05,-39884,-20.343,-2.9469,-12.048,80.041
0.48182,0.52799,-0.10305,-0.84297,-0.81108,0.3,0.20607,0,0,0,0,56.898,2199.4,-14961,2.5494e+05,-40587,-20.2,-3.0631,-11.821,79.668
0.50817,0.52775,-0.10335,-0.84309,-0.81303,0.3,0.20486,0,0,0,0,55.86,2319.7,-17423,2.5185e+05,-41937,-19.894,-3.2778,-11.448,78.933
0.52126,0.52775,-0.10334,-0.84309,-0.81359,0.3,0.2045,0,0,0,0,55.506,2379.5,-19207,2.4932e+05,-42334,-19.64,-3.3971,-11.152,78.317
0.55774,0.53437,-0.098777,-0.83944,-0.81456,0.3,0.2039,0,0,0,0,54.6,2546,-22579,2.4456e+05,-43774,-19.162,-3.6544,-10.595,77.152
0.5766,0.51549,-0.083146,-0.85283,-0.81566,0.3,0.20319,0,0,0,0,54.256,2632.1,-27833,2.3967e+05,-41224,-18.597,-3.8732,-10.049,75.887
0.5768,0.48826,-0.063966,-0.87032,-0.81752,0.3,0.20211,0,0,0,0,54.102,2633.1,-31427,2.3866e+05,-35029,-18.457,-3.8553,-9.7864,75.467
0.57632,0.47386,-0.054127,-0.87894,-0.81859,0.3,0.20154,0,0,0,0,53.851,2630.8,-31670,2.4042e+05,-31687,-18.722,-3.7423,-9.7443,75.839
0.58911,0.474,-0.054172,-0.87886,-0.82048,0.3,0.20051,0,0,0,0,53.263,2689.2,-32424,2.4041e+05,-32312,-18.783,-3.826,-9.6544,75.91
0.61452,0.47602,-0.052464,-0.87787,-0.82152,0.3,0.19995,0,0,0,0,52.595,2805.2,-34828,2.389e+05,-33017,-18.602,-4.0082,-9.4152,75.305
0.63943,0.47038,-0.0442,-0.88135,-0.82348,0.3,0.19889,0,0,0,0,52.132,2918.9,-38972,2.3802e+05,-32108,-18.291,-4.2147,-9.0786,73.806
0.6456,0.45655,-0.03571,-0.88898,-0.82446,0.3,0.19838,0,0,0,0,52.027,2947.1,-43902,2.4505e+05,-29684,-18.281,-4.365,-9.0016,71.197
0.64662,0.4355,-0.021012,-0.89994,-0.82471,0.3,0.19826,0,0,0,0,51.977,2951.8,-44786,2.4983e+05,-29952,-18.323,-4.3662,-9.03,69.887
0.64923,0.43549,-0.02103,-0.89995,-0.82595,0.3,0.19766,0,0,0,0,52.179,2963.7,-48613,2.6523e+05,-30044,-18.691,-4.4709,-9.2489,66.707
0.65193,0.43651,-0.022387,-0.89942,-0.82636,0.3,0.19746,0,0,0,0,52.375,2976,-50817,2.7558e+05,-31452,-18.872,-4.5449,-9.3758,64.736
0.67005,0.44412,-0.023224,-0.89566,-0.82748,0.3,0.19692,0,0,0,0,53.229,3058.7,-63216,3.3553e+05,-39370,-19.801,-4.8978,-10.046,54.819
0.69305,0.44333,-0.026044,-0.89598,-0.82812,0.3,0.1966,0,0,0,0,53.661,3163.7,-67706,3.6688e+05,-47402,-20.008,-5.0429,-10.427,51.195
0.71047,0.44134,-0.02632,-0.89695,-0.82925,0.3,0.19604,0,0,0,0,54.999,3243.2,-77932,4.2204e+05,-56422,-20.514,-5.2929,-11.104,43.711
0.7132,0.43294,-0.028487,-0.90096,-0.82934,0.3,0.196,0,0,0,0,55.189,3255.7,-79261,4.2639e+05,-57976,-20.625,-5.3819,-11.192,43.359
0.76841,0.50488,-0.060434,-0.86089,-0.83034,0.3,0.19546,0,0,0,0,54.48,3507.7,-90992,4.5502e+05,-81120,-19.818,-6.0693,-11.465,38.23
0.90253,0.57513,-0.10935,-0.81061,-0.83089,0.3,0.19512,0,0,0,0,51.62,4120,-91916,4.2426e+05,-1.3075e+05,-17.931,-7.0079,-10.254,35.438
1.0404,0.75639,-0.21593,-0.61546,-0.83169,0.3,0.19439,0,0,0,0,49.15,4749.1,-83667,3.3341e+05,-2.0745e+05,-16.029,-7.95,-7.4141,32.512
1.0969,0.86779,-0.27657,-0.41285,-0.83183,0.3,0.19405,0,0,0,0,47.419,5007.3,-79187,2.2941e+05,-2.6887e+05,-14.98,-8.6869,-4.7083,30.832
-0.48917,-0.99978,0.02083,-3.0789e-07,-0.11625,0.3,0.23364,0,0,0,0,0.30056,-2233,-3914.2,-1.7087e+05,4.2909e+05,2.1934,-7.9285,-3.1405,2.7927
-0.9139,-0.99978,0.020829,4.6134e-07,-0.11625,0.3,0.23439,0,0,0,0,0.22435,-4171.9,6699.4,-1.96e+05,3.9873e+05,-6.8531,-7.1367,-3.3818,2.8065
-1.0168,-0.99978,0.020829,-1.5604e-06,-0.11625,0.3,0.23292,0,0,0,0,0.2305,-4641.6,-4033.7,3.3553e+05,3.4518e+05,-11.036,-6.2021,5.6718,2.51
-1.3059,-0.99978,0.020829,-1.2118e-07,-0.11625,0.3,0.23525,0,0,0,0,0.13558,-5961.2,21702,6.0135e+05,3.3004e+05,-15.088,-5.6357,11.652,2.5965
-1.5712,-0.99978,0.020828,-1.3897e-06,-0.11625,0.3,0.23225,0,0,0,0,0.17384,-7172.3,-7606.8,54687,3.045e+05,-24.89,-5.2829,-0.14211,2.4878
0.39493,0.67009,0.41435,0.61587,-0.047667,0.3,0.42626,0,0,0,0,3.9307,1802.8,-1.0906e+05,-3.0691e+06,2.1675e+06,-52.921,29.849,39.335,7.5579
0.18248,0.62057,0.43294,0.6538,-0.046924,0.3,0.42556,0,0,0,0,5.773,833.02,-65901,-3.211e+06,2.1403e+06,-60.802,27.017,38.573,8.5446
0.74616,0.7804,0.37776,0.49762,-0.048034,0.3,0.42672,0,0,0,0,3.7301,3406.1,-93377,-2.7675e+06,2.0919e+06,-43.019,31.528,39.396,6.7907
0.16994,0.56896,0.45978,0.68179,-0.046903,0.3,0.42555,0,0,0,0,6.2171,775.77,-57815,-3.2471e+06,2.1472e+06,-61.696,26.6,38.475,8.8232
0.84986,0.79162,0.36459,0.49013,-0.048195,0.3,0.42698,0,0,0,0,3.6877,3879.5,-91609,-2.5145e+06,1.9702e+06,-37.699,30.514,36.828,6.282
0.021998,0.5586,0.45043,0.69605,-0.046628,0.3,0.42534,0,0,0,0,7.1231,100.42,-38104,-3.1527e+06,2.0488e+06,-64.276,24.602,36.552,10.065
1.0917,0.81501,0.36063,0.45228,-0.048505,0.3,0.42757,0,0,0,0,4.2423,4983.3,-72257,-1.509e+06,1.4308e+06,-20.326,23.441,23.4,4.8852
-0.079514,0.51152,0.46401,0.72223,-0.046251,0.3,0.42504,0,0,0,0,7.8952,-362.97,-27666,-3.0826e+06,1.9719e+06,-65.679,22.847,34.733,10.855
1.2278,0.96075,0.202,0.18837,-0.048705,0.3,0.42829,0,0,0,0,4.7848,5604.8,-1.0156e+05,-4.0859e+05,9.0451e+05,-7.9851,15.668,6.0178,3.634
-0.21403,0.4374,0.47646,0.76113,-0.045536,0.3,0.42463,0,0,0,0,7.6111,-977.04,-24605,-2.9107e+06,1.8467e+06,-65.983,20.749,31.745,11.672
1.2725,0.98479,0.14792,0.08412,-0.048734,0.3,0.429,0,0,0,0,5.1361,5808.8,-1.4744e+05,3.9124e+05,6.0302e+05,-3.0696,10.771,-7.8147,3.0511
-0.42535,0.40018,0.48058,0.77931,-0.044565,0.3,0.42412,0,0,0,0,6.9273,-1941.7,-48372,-2.5888e+06,1.6267e+06,-64.478,17.848,26.341,12.882
-0.49728,0.38752,0.48194,0.78579,-0.044268,0.3,0.42395,0,0,0,0,6.8411,-2270,-58309,-2.4715e+06,1.5448e+06,-63.956,16.879,24.508,13.309
